text,size
steep,1
step,1
stephon,1
sterling,19
stewart,1
still,6
stock,15
stockswells,1
stonewall,1
stop,2
stopi,1
store,2
story,4
straight,4
stranger,4
strategy,1
streak,2
streaming,1
street,5
strength,1
stressed,2
strong,1
stronger,1
strongly,1
struck,2
stumbling,1
stunned,1
style,2
subject,1
subplot,1
substantial,1
subtext,1
sucksalexa,1
sucksand,1
suddenly,1
sue,1
suicide,2
suit,1
summer,2
sumptuous,1
sun,2
supplant,1
supply,1
support,2
sure,1
surface,1
surpassed,2
surprising,1
survey,1
survived,1
survivor,1
suspended,1
suspicion,1
sustaining,1
swamp,1
swears,1
swept,1
swiftsince,1
systemic,1
table,3
tackle,2
tactic,1
take,4
taken,2
taker,1
taking,1
tale,1
talk,1
talking,1
target,2
targeted,1
taser,2
teacher,1
team,2
teardrop,1
technical,1
technique,3
technology,1
teenage,4
teenager,3
television,1
tell,1
temperthe,1
tendency,1
tension,1
terrible,1
terry,1
test,1
testimony,2
thats,3
thc,1
thcentury,1
themblane,1
theme,1
themthen,1
thenshe,1
thiessen,1
thin,2
thing,7
thingsstyle,1
think,3
thinking,1
thisaiera,1
though,3
thought,5
thousand,1
threat,1
threatening,1
threatens,2
three,6
thrill,1
throughout,1
thrown,1
thrust,1
thursday,3
thus,1
tied,1
tiemidfielder,1
tiffani,1
till,2
tilled,1
time,8
tinge,1
tinoco,1
tintypes,1
title,1
titled,1
told,4
tolerate,1
tone,1
took,6
tool,1
torso,2
touched,1
toughminded,1
tour,1
touring,1
toxicology,1
trading,1
traditional,1
tragedy,1
tragic,1
training,2
traumatized,1
traveling,1
treasured,1
treat,1
treated,1
treatment,1
trial,1
tribulation,1
tribute,1
tried,1
trigger,1
troubled,1
trust,2
try,2
trying,1
tuesday,1
tuft,1
turn,2
turned,3
turning,1
tussle,1
tv,3
tween,1
tweenage,1
tweeted,1
twice,4
twin,1
twist,1
twitter,1
two,13
u,3
udinese,4
ultimately,1
unarmed,1
uncannily,1
uncomfortably,1
underfoot,1
underline,1
understood,1
unenthusiastic,1
unfair,1
unforgettable,1
union,1
united,2
universe,1
university,1
unparalleled,1
unprepossessing,1
unpublished,1
unreasonable,1
unsettled,1
upends,1
uphold,1
uproar,1
urban,1
urged,1
us,4
use,5
used,5
useofforce,1
user,2
using,2
vacate,1
vacillation,1
valuable,1
valuablemilan,1
valuation,2
vantage,1
various,1
ventured,1
verdes,1
vexed,1
video,7
view,1
viewer,1
vignetting,1
vigorously,1
vincent,1
violated,3
violent,1
virginia,3
virtual,1
virtually,2
virtuously,1
visible,1
visibleall,1
visibly,1
visionthe,1
visit,1
vista,1
visual,1
vivid,1
vividly,1
voice,2
vote,1
voter,1
wa,52
wall,3
want,3
wanting,2
war,3
warmhearted,1
warned,1
washington,1
wasnt,1
watched,1
water,5
way,9
week,5
weeksam,1
weight,4
weirnew,1
welcome,1
well,7
went,9
weston,1
wharton,2
whether,2
white,2
whose,6
widely,3
wieser,5
wiesers,1
wife,4
wig,1
willingness,2
window,1
winfrey,1
winfreys,1
winning,1
wisdom,1
within,2
without,2
witness,1
woman,5
wonder,1
wont,1
wordham,2
wordover,1
work,7
worked,2
world,4
worse,1
worst,1
would,9
write,1
writer,7
writing,4
written,2
